ID,sex,Aged,Married,TotalDependents,ServiceSpan,MobileService,4GService,CyberProtection,HardwareSupport,TechnicalAssistance,FilmSubscription,SettlementProcess,QuarterlyPayment,GrandPayment,CustomerAttrition
A8Q0D9L3J10TJ3RYJ6LI,1,0,0,1,30,1,2,0,0,1,1,Check,79.77587335,2586.552601,1
5334NCXFQXQBDW922RIX,1,0,1,0,71,1,0,1,1,1,1,Electronic,117.5415085,8566.227634,0
OLXI0LRL3MMNI7LR3DTM,0,1,0,0,53,1,2,0,0,0,0,Electronic,80.36744939,4368.856094,1
T2O6KQFJUFI64RN7UR29,0,0,0,1,0,0,2,0,0,0,0,Check,21.98519314,19.35013564,0
5TOJ720HD6IX2DYAJFJ0,1,0,0,0,2,1,2,0,0,0,0,Check,19.41285496,17.2019606,1
AGSGJXM11GEJ3M7XGI74,1,0,1,1,31,1,2,0,0,1,1,Bank,82.22792953,2569.947744,0
HDYY5FS8SG2FHXKGY5H4,0,0,1,0,36,1,2,0,1,0,0,Card,77.4952163,2839.994301,1
FK3JMDN9XQLUJOM6SLGP,1,0,0,0,8,1,1,0,0,0,0,Check,19.84486471,175.3866122,0
70NGNDPH2QCL9733FUS5,0,1,0,0,37,1,2,0,0,0,0,Check,19.55929233,735.0547403,0
HSI68FU26TFNRN94Q5Y9,0,1,0,0,30,1,2,0,0,0,0,Card,18.72350506,588.1546993,0
7MEOG94IRCS9FF6MGF1R,1,1,1,0,34,1,2,1,1,1,0,Bank,110.3968453,3693.590574,0
2Q277DOT5QB5QIEM47Y4,1,0,0,0,34,1,0,1,0,0,0,Bank,32.45361622,1126.056093,0
39F02T34II0IJ7THGL23,0,0,0,0,28,1,1,0,1,1,0,Check,37.5064837,961.4162993,0
0K3MC0Q6BE4MTDUJXS97,1,0,0,0,2,1,1,0,0,0,1,Card,90.96610221,89.07803539,1
KNJ68L07G7UPL0O7GJ8T,1,1,1,1,-1,1,0,0,0,1,1,Card,49.40219235,49.38402941,1
7SDP8RGBKN7DZCTD3AHP,1,0,1,1,53,1,2,1,0,1,1,Electronic,71.75796029,3828.122394,0
KO1YG3DMANI47G3AKHS2,0,0,0,0,-1,1,1,0,0,0,0,Check,25.00933211,24.26913058,1
2H1MF42QO7O8OUH0E27Y,0,1,0,0,34,1,2,0,0,0,0,Card,69.21325834,2274.684961,0
687UHD5FENP9O4EZ2US4,0,0,0,0,41,1,1,0,0,0,0,Electronic,101.7666876,4524.955971,1
DGGR0F9WNR8T7X3UUGA3,0,0,0,0,0,1,2,0,0,0,1,Check,19.45853613,18.53323336,1
DY8N2FSPYBLTHA1BICZU,0,0,0,0,60,1,2,0,1,0,0,Electronic,102.3647176,6422.082266,0
JR3XPWJKO3IU78CBTSMK,1,0,0,1,3,1,2,1,0,0,0,Electronic,48.11708459,180.7257484,1
Y9CIB2KBL7IH7GSHUMWF,0,0,1,1,22,1,0,0,0,0,1,Check,19.32974979,399.8918963,0
HGRWRMTN6J78MEK5OD6P,0,0,0,0,1,1,1,0,1,0,0,Card,86.35580918,85.17804086,1
YLZYBT7AF4IXLFRUWNSY,1,0,0,0,3,1,1,0,0,1,1,Check,48.45830283,149.3083938,0
C1WOIX3KCAO9BSHCX8Z7,0,0,1,0,68,1,2,1,1,1,0,Bank,64.57814342,4504.812662,0
OT1QF8QRXB30MBH0RL94,1,0,1,0,41,1,2,0,1,0,1,Electronic,79.36382704,3170.365504,0
85QBDSIZ3QCBQ4QAEQUX,1,0,1,0,9,1,1,0,0,0,0,Card,85.38877534,627.7930078,1
FXTPP95SRZBKU4U8QYA7,0,1,1,1,54,1,1,1,1,0,0,Bank,103.0864435,5794.253637,1
JHE5Q30PHYLWXEIIBS7Y,0,0,0,0,11,1,2,0,0,0,0,Card,23.09018141,236.8724574,0
RCGPFBPKOLCJ0WJJDU2J,1,0,1,1,39,1,1,0,1,0,1,Bank,69.6092196,2839.461562,0
FSS4N7H31SRANWLK1S61,0,0,0,0,21,1,0,1,0,0,0,Electronic,58.232961,1252.614034,1
BPY8CYSMCZULKW2QNDZO,1,0,0,1,58,1,1,0,0,0,1,Check,19.23573865,1171.275999,0
1LMC356KA5JKD5C7B4TA,1,0,0,0,40,1,0,0,0,0,0,Check,24.81601393,963.8549677,0
AWU8RY33G90W2K3BOLM8,0,0,0,0,25,1,0,1,0,0,0,Electronic,94.86288632,2285.085336,0
3SM3AO5PO2KP11UXMCMU,0,0,0,0,10,1,2,1,0,1,0,Check,53.67559914,618.2574497,0
A5DRR0NFW2B2NBO8C693,1,0,1,1,50,1,2,1,1,1,1,Bank,84.44228447,4328.214608,0
MTF9YNB7X4BRUMUEHLAC,0,0,0,0,-1,1,2,0,0,0,0,Check,25.13443471,23.87399239,1
UL6YG0F74I94BMQ3AW7A,0,0,1,0,53,1,0,0,1,1,0,Electronic,109.0132474,5892.177351,1
0CXQMUXPNSNCLSTTUE1M,0,0,1,1,4,1,2,0,1,0,0,Electronic,74.75630802,326.2146797,1
3RHAG241W40FXAYKFFX3,0,0,1,1,72,1,1,1,1,1,1,Card,87.30396775,6593.556275,0
7KTX7BIJH9T6058AIRS0,0,0,0,0,28,1,2,1,1,0,0,Check,58.73706828,1654.846311,0
N044HJ5XHX8Y4EF6CIC0,1,0,0,1,44,1,2,1,0,1,1,Bank,105.0480882,4823.776315,1
K63E72T3CD5UYC0KNFP2,1,0,0,0,8,1,2,1,0,0,0,Check,84.19550409,831.6880599,1
R7P44TC7JGGDN5N4RCXE,0,0,0,0,15,1,0,0,0,0,0,Card,51.5904871,728.4235991,0
1QYUK5FWCMACYNTXGK6T,1,1,1,0,49,0,2,0,0,0,1,Bank,71.55532042,3543.898114,0
OHTFWH1ZYK19PWKEI0EX,0,1,0,0,10,0,2,0,0,0,0,Electronic,85.94959845,745.0784386,1
A2CJXF73K2MYM69J2MET,1,0,0,0,38,1,1,0,1,0,1,Electronic,100.2312644,3810.547911,0
NOM7Z2GZH684QQRFF9LO,1,0,0,0,55,1,1,1,0,1,1,Card,106.4662289,5760.436633,0
8UQ8E3CEUNGAC3ZJ7ONF,0,0,1,1,34,1,2,1,1,0,1,Card,104.6893166,3684.064061,0
SOO80SK63DQPKSCON72S,1,0,0,0,10,1,0,0,0,1,0,Bank,95.13963013,826.8202914,0
OBXM4R72JRWI4XS7JPM4,0,0,0,0,-1,1,2,0,1,0,1,Check,50.47836307,51.11811993,1
CJMY95IMZE82YZCZS1XY,0,0,0,0,51,0,1,0,1,1,0,Card,40.30848079,1932.206428,0
8CBCFF54MYSOT61YRWJT,1,0,1,1,58,1,1,0,1,0,1,Electronic,105.2831815,6257.000417,0
7MQPU7QWOX0F4DLSQI0L,1,0,0,1,16,1,2,0,0,0,0,Check,43.67312361,682.3042215,0
MC4XPLKSYERBUMDXEKNH,1,0,0,0,39,1,1,0,0,0,0,Bank,19.75135218,825.9637664,0
YEAI6AUOPLAH5HPQO5IO,1,0,0,0,65,1,1,0,0,1,1,Electronic,103.4823524,6861.169461,0
9ETFCEUD2E154RZQWXZ0,1,0,0,0,13,0,1,0,0,0,0,Check,30.35906751,419.2849472,0
5OATJFZ9BXUAC5GHBU3N,0,0,1,0,69,0,2,0,0,0,0,Bank,21.27338012,1492.78334,0
WDRLKB3UM5M61OST76Y2,1,0,1,1,10,1,2,0,0,1,1,Electronic,101.9884454,904.6323138,0
D5WI7OZB64A71AKLF50I,0,0,1,0,15,1,0,0,0,0,1,Electronic,48.17046351,668.9788214,1
SZUKKM4EW9HWB76BH4O1,0,0,1,0,24,1,2,0,0,0,1,Card,19.19317305,487.5908155,0
ICGBJCYYOY71SOTXCANC,1,1,0,0,1,1,2,1,1,0,0,Bank,66.48575594,93.4721886,1
18UJ06EXMIUY1FG01OTX,0,0,1,1,71,1,2,0,0,0,1,Card,24.86113353,1662.995424,0
2RBWSN2PU22LRSW2NZT9,0,0,1,0,24,1,1,0,0,1,0,Card,72.2649724,1643.597201,0
D42FK7ZHHUFCF4ZNJ1O5,0,0,0,0,3,1,0,0,0,0,0,Card,20.99427443,66.80368264,0
F790IJ1O0FDYMCCYC414,0,0,1,0,26,1,2,1,1,1,0,Card,90.58623258,2311.612369,0
DTBQPG0EL72O3R5ERART,0,1,0,0,-1,1,2,0,0,0,0,Check,45.15588817,44.94603642,1
0NW6ZK8TTNJEI8CTOZG3,1,0,1,1,59,1,2,1,1,0,0,Check,34.136504,1980.600462,0
WMXABYXO769J63GABK6F,0,0,0,0,71,1,1,1,1,1,0,Electronic,109.8673675,7622.906279,0
DH8R6RIC86LB59IAN1DI,1,0,0,0,1,1,2,0,0,0,1,Bank,67.76498776,221.7508725,1
X7A7G9KCNOWLNETRWE9W,0,0,0,0,60,1,0,1,1,1,0,Card,85.70443027,5175.407419,0
B3AYHWAPRPRTNNBXZZ1L,0,0,1,1,38,1,2,0,1,1,0,Bank,96.22962921,3616.349018,0
CIMUWFTLMIMQAH00SPE3,1,0,0,0,19,1,1,0,0,0,0,Card,41.44001817,895.0391052,1
HM2B2RRE0E3KJLLHK945,1,0,1,1,57,1,0,0,0,1,0,Card,96.91477207,5430.595981,0
1LAQKY4S64B80ZK3KUX8,0,0,1,0,69,1,1,1,0,1,1,Check,68.74408958,4664.527526,0
0ZJIAPOPLBQWM3D1P0DL,1,1,1,0,16,1,1,0,1,1,0,Electronic,91.70260163,1539.667698,0
PSHAIMYWQU9ELWJNXSFK,1,0,0,0,2,1,2,1,0,0,0,Electronic,70.50845992,146.3718288,1
KKHQ9IF3N0AQTPZBAEP0,1,0,1,1,39,1,1,0,1,0,0,Electronic,85.14695165,3355.661762,0
1TWOU2MYCBOUSB9YE0ZD,0,0,1,0,54,1,0,1,1,0,0,Electronic,94.36021602,5029.287606,1
4IIILSCFMKCBY7I30SJR,0,0,0,0,15,1,2,0,0,0,1,Electronic,100.7476429,1416.467283,1
WT55LEDL81XJKENC5N6B,0,1,1,0,9,1,1,0,0,0,1,Card,21.15666413,182.1516642,0
Z4QZ6P0362KBD570E6PJ,1,0,0,0,1,1,1,0,0,0,0,Electronic,70.68184148,69.05234088,1
JZ17BWHCROZAD2YJDDMI,1,0,1,1,51,1,1,0,0,0,0,Card,19.78856334,1069.357353,0
2N93MNBIJBSJ5L3J1RXO,1,1,1,0,60,1,1,1,1,1,0,Bank,116.9555462,6925.36404,0
CM6ONHSAEKJ93RCR8FSW,1,0,1,1,8,1,1,0,0,0,1,Electronic,55.21757377,447.9534744,0
89IKCZEJICR6SQFSHINO,0,1,0,0,34,1,1,1,1,0,0,Electronic,108.796541,3726.781235,0
RG9M3TBI03PSLI3EMDQE,1,0,0,0,13,1,0,0,0,0,0,Bank,45.93588342,541.6070566,0
DI0DYQWDBLA534QXW4IM,0,0,0,0,10,1,0,0,0,0,0,Electronic,45.56015533,523.8840035,0
1G76XJ5EKAIKGS2R1X8Y,1,0,1,1,2,1,2,0,0,0,0,Check,23.20940443,62.32523987,0
2KK2X8Q6EQ5T0P98SQGT,1,0,1,1,11,0,1,0,1,0,0,Card,59.56139511,741.3375113,0
8PI4KWM65HG2H04DPTI0,1,0,1,1,65,1,2,0,0,0,1,Card,25.37674568,1712.970022,0
KS1MGNZ1DGPHG8323Y42,0,0,1,0,70,1,2,0,1,0,1,Electronic,54.59017828,3936.475992,1
E153F6BQ2O4CGAZYQA42,1,0,1,0,73,1,2,1,1,1,0,Bank,91.17395059,6468.953313,0
2TGEOYYA2O40RTLX2R2X,0,0,1,0,45,1,0,1,1,0,0,Electronic,98.0308009,4534.014027,1
630XSTDO1DCNKHXNQ7WS,0,0,0,0,2,1,0,0,0,0,0,Card,99.80957318,100.7615591,1
Q5940BN81TIMFGFTNXX4,0,0,0,0,5,1,2,0,0,0,1,Electronic,75.69960909,301.1639883,0
PPD8DQLMH0C9TSCJ1YRI,1,1,1,0,8,1,2,0,0,0,1,Card,81.17186568,632.351725,1
M229KKRRMN2QBRRQ6GYM,0,0,0,1,9,1,1,0,1,1,0,Check,72.24010098,654.0037414,1
4A44FEODWGMH220EBEXJ,0,0,1,1,42,1,1,0,0,0,0,Bank,19.96203137,797.9196645,0
19FW0H3NR7KQRX4QDWWC,0,0,1,1,46,1,1,1,0,0,0,Bank,52.36593382,2334.529248,0
J51JJJ6IA3KGZDYIZG2X,0,0,0,0,1,1,1,0,0,0,0,Electronic,70.57886326,151.0648118,1
UZO21ZKLYTBB4BTRHBDK,0,0,0,0,1,0,0,0,0,0,1,Check,20.9350764,19.2957799,1
T1PPWOAJZCINA21I64TI,0,0,1,0,38,1,1,1,1,0,1,Bank,105.637896,4230.648911,0
YX4WHIK8OQ0243X87QSH,0,0,1,1,68,1,2,1,0,1,1,Bank,81.02651697,5542.855418,0
25LNKD0Q6ZND45R8PRY7,0,0,0,0,26,0,2,0,0,0,1,Check,48.74148083,1292.927516,0
G7T7QA7THHMO87QDUC3A,1,0,0,0,8,1,2,0,0,1,1,Card,93.73394567,865.5801753,0
4YTORLJPRMZPANJLNK4X,1,0,1,1,50,1,1,0,0,0,1,Card,20.29443419,1012.835176,0
8L4NCT49Y775NMIEJC20,0,0,0,0,2,1,0,0,1,0,0,Electronic,73.09148298,281.2881986,1
QB0YT4IPIAFKXIJB7SJG,0,0,1,0,54,1,1,1,0,1,0,Check,57.66443105,3112.463509,0
PSLUHMCGYGHU9ZPK2MB2,1,1,1,0,51,1,2,0,1,1,1,Electronic,92.95991492,4870.876348,0
4ELAC8LCTNPZAQ6JM82C,1,0,0,0,35,1,0,1,1,1,1,Bank,83.90565025,3001.956728,0
RUFS7H5JRX6IYKQ9EXPX,1,0,0,0,45,1,0,0,1,1,0,Card,34.08258771,1536.38589,0
94NONDPKD3PLPXUXNEO0,0,0,1,1,16,1,0,0,1,1,1,Bank,76.60230806,1155.915101,0
P4OAMFLQY56XZJ2I84RD,0,0,1,1,60,1,0,0,1,0,0,Electronic,100.1769356,6282.751609,1
WSM1P51307KTU599TTO6,1,0,1,1,44,1,2,0,1,0,0,Card,78.64037955,3599.418434,0
9OP7WREW28R2ZOS7KP64,1,0,1,1,22,1,2,0,0,0,0,Bank,72.68264792,1565.317153,1
YY9RT7SY2XHGHHIQN1Q7,1,0,0,0,25,1,2,1,0,1,0,Bank,74.60652676,1908.238003,0
RSSGU5WFC9DJ8KGOL5SE,1,0,1,0,62,1,2,1,0,0,1,Check,72.6868337,4765.932927,0
XH00D0H70MTPIRLHGACP,1,1,1,0,25,1,0,1,0,1,1,Bank,105.1431224,2866.914235,1
ZOFPT114QF5D993N8OHA,0,0,1,1,67,1,1,1,1,1,0,Electronic,74.19959991,5012.526104,0
EI03B5FLXT2HKR6R2NYT,0,0,0,0,26,1,1,0,0,0,0,Card,17.03026567,532.9991118,0
ZGQWPR1QBYG2LL50ZZ1P,1,0,1,1,46,1,1,0,1,1,0,Bank,90.9300599,4237.824944,0
WN5ZXIRL7LY904G8XWFZ,0,0,0,0,1,1,2,0,0,0,1,Check,20.13593047,19.7586711,0
EKFXQQC00TB6O9NFZLXA,1,0,0,0,23,0,0,0,0,0,1,Electronic,96.96316785,2323.751109,0
79GDQ0XXL14XLK32BTI6,0,0,1,0,62,1,2,0,0,1,0,Bank,102.2863331,6384.192544,0
51908TE2U16K2TX0S8R3,0,0,1,0,16,1,2,0,1,0,0,Electronic,100.7268704,1504.341999,1
5F7TPXF6NZL7WG5H3R17,1,0,1,1,18,1,1,0,0,1,1,Electronic,85.26412405,1603.214678,0
OM5F7GO8AFJ3T8RE30BH,0,0,0,0,36,1,1,0,0,0,0,Electronic,86.53879701,3028.215406,1
AIG0BXILGXK5SY5JO233,0,0,1,1,21,1,2,0,0,0,1,Check,24.17143744,626.0898857,0
LZ3MYZ8HKSHPRMBQC1H8,1,0,0,0,8,1,1,0,1,0,1,Card,87.7996483,633.7211742,1
BNZ14M8B3BPA4R33HRDU,0,1,0,0,1,1,0,0,1,0,1,Electronic,87.73262606,89.39934637,1
A5URGS7B6711GC6S91U7,0,1,0,0,2,1,0,0,0,0,0,Electronic,88.05247862,88.69225786,1
2OA1IXQN4RZIF2AMT0T9,0,0,1,0,72,1,1,1,0,1,0,Card,110.2328167,7852.455982,0
1OUP898IPI8NFRPTQI4Q,1,1,1,0,61,1,2,0,1,1,1,Check,96.66816011,6066.407021,0
ISO46D56KGJMZ32XTX5Q,1,0,0,0,56,1,1,0,0,1,0,Check,54.18668184,3134.738423,0
6KRSCGPNGIIWMYTKTM4F,1,0,0,0,0,1,1,0,0,0,0,Check,45.76061184,45.50198909,0
IWSOCCPUOE8P1SE9A8TF,0,1,1,0,22,1,2,0,1,1,0,Check,35.02276763,828.3343164,0
8AD6OEQUXW50DQU1NCH0,1,1,0,0,36,1,1,0,1,0,1,Electronic,101.2138008,3495.397135,1
M4I0CZFFL0QIUXMKOREZ,1,0,1,0,47,1,0,0,1,0,0,Electronic,64.81180239,3094.529762,0
YZBPUS862CJL58BP8U4J,1,0,1,0,42,0,1,0,0,0,0,Electronic,79.9574072,3399.709517,0
DLXWKKMENKEH53EZEIPU,0,0,0,0,31,1,1,0,0,0,1,Electronic,93.51491732,2979.239008,0
AFD5NU7X7OZQ0U1IBBDZ,0,0,1,0,63,0,0,1,1,0,0,Card,72.90737238,4282.312756,0
1ZKXRNWM03ZADE1Q2ER1,1,0,1,0,61,1,2,1,1,1,0,Electronic,105.6313046,6614.692711,0
CYAQU6GQL8CXFCW9CARM,1,0,0,0,32,1,2,0,0,0,0,Electronic,82.84951187,2758.66483,1
PW01FB7PGYOYEIO7EDSK,1,0,0,0,2,1,2,1,0,0,0,Check,87.2357794,245.3891976,0
KP5TL2THZ0T5KA6B0KXT,1,1,0,0,2,1,0,0,0,0,1,Electronic,42.92036677,85.29122185,0
P1IP5W6YX2Q0NCCD6PNQ,0,0,1,1,34,1,1,0,0,0,0,Card,18.53475884,679.3028236,0
FUWFDYAUTN5RZPIOPFOR,0,0,1,1,22,1,0,0,0,0,1,Bank,19.67214728,452.141183,0
7XD3EC4YFOJPF6BIBSQB,0,0,0,1,29,1,1,0,0,0,0,Card,85.39847022,2696.986063,1
DKCU681E8RX3LKISRPZI,0,0,1,1,21,1,1,0,0,0,1,Card,25.08535679,513.5242056,0
WWMDYH6KCR4J8UAHHR36,1,0,0,0,4,1,1,0,0,0,0,Check,19.16887298,67.61622459,0
6X0EE4Y0Z2OI2RBSXOZF,0,0,1,0,64,1,2,1,0,1,0,Electronic,83.17116514,5538.586853,0
EOGQSCSHPNU91PH7T3S7,1,0,1,0,54,1,2,1,0,0,1,Bank,76.44677124,4189.573581,0
4RJRF02KKCDKGF3UZK3H,1,0,1,1,72,1,0,1,1,0,0,Bank,105.1221286,7611.361079,0
0S701Q9KKULGG4EGSXJY,0,0,0,0,10,0,1,0,0,0,0,Card,20.09231807,264.8625754,0
NYOLGO497RJ47LPJ4MDQ,1,1,0,0,55,1,2,0,1,1,1,Electronic,110.4165874,6418.219247,1
A1J0PTLQRQQGP7PH4URK,1,0,0,0,23,1,1,1,0,1,1,Card,55.5207703,1381.677426,0
5TOU3YXA5OKSR53LBUH1,1,0,1,1,22,1,2,1,0,1,1,Bank,80.23590474,1922.922151,0
5M80FWUPKGD6KLK5K8WQ,0,1,1,0,34,1,1,0,0,0,0,Bank,80.82776146,2655.559089,1
E4ZDQGA66TSS5UGLPHLY,0,0,1,1,64,1,0,1,1,1,1,Card,73.72580878,4673.862208,0
40ZAC2GB7I010HEIEL96,1,0,0,0,70,1,2,1,1,1,1,Card,62.65136478,4390.779235,0
DH2NYKTF4C26S597UC3L,0,0,0,0,16,1,1,0,0,0,0,Check,39.3830009,604.041765,0
MTI69B96M9D0HP0MDDPJ,0,0,0,0,2,1,2,0,0,0,0,Card,48.381921,90.57408212,1
B3YRDZ69F4GNHD3J51SG,1,0,0,0,16,1,1,0,0,0,0,Check,23.2213976,365.0171991,0
J3ROB20MB97NREA6G701,1,0,0,0,37,1,2,1,0,1,1,Bank,38.64966817,1631.11954,0
8I8BKXC89ZWK3DB0RQD1,1,0,1,0,50,1,2,1,1,0,1,Electronic,95.2880848,4618.595507,0
WHEAOJBRFQ3FM7EW5P1O,1,1,0,0,13,1,2,0,0,0,1,Electronic,81.2080806,1102.009369,1
0HNJM784Q50PIDZPNR45,0,0,0,0,31,1,1,0,0,0,1,Electronic,91.62468659,2869.55719,0
FETFWZ51T27M1H0XLD8X,0,0,0,0,15,1,0,0,0,0,0,Card,20.14443794,301.9787511,0
OTQ831CD62JAA5JFE7Y2,1,0,0,1,8,1,2,0,0,0,0,Bank,19.63399618,158.1511876,0
BUNRNZFJZJB7KDP9PATI,0,0,0,0,15,0,0,0,0,0,0,Electronic,48.08959044,749.3925697,0
J8R6Z1E5IG5NQC0QBEPH,1,1,0,0,30,0,1,0,1,0,1,Electronic,38.82723819,1174.874265,1
O3HGQHULQ1D0F2BGR0OT,1,1,0,0,72,1,2,0,0,1,0,Electronic,105.4874955,7623.960253,0
1IZM60QAG13LRWHE2747,1,0,0,0,10,1,1,1,1,1,0,Check,50.513537,462.3187646,0
47TMR76QGIWG4A31SX3E,0,0,1,0,29,1,1,0,1,1,1,Card,65.5342984,2018.696727,0
7ZWB0ZQ8DISUWYZWERD9,1,0,1,1,57,1,1,1,0,0,0,Bank,64.24915001,3513.92955,0
CPL6GTWGE9AEUMPURZCN,0,0,0,0,57,1,2,1,1,0,0,Bank,100.0767538,5622.915415,0
2Q0G1GTGTKSE23BMYLKW,0,0,0,0,7,1,2,0,0,0,1,Electronic,67.15015075,459.2518286,0
L4294ERCD9LYDEN02I1K,1,0,1,0,70,1,1,0,0,0,0,Card,61.69608399,4130.370301,0
9LZAZMZKHNDG5I0DZ9CT,0,0,1,0,71,1,2,0,0,0,0,Card,20.83037425,1305.691783,0
GAJK6QTERUAWNUD51ZIA,1,0,0,0,70,1,0,1,0,1,0,Card,105.4579121,7249.872797,1
TXU9H326AJU831UOPEJL,0,0,0,0,9,1,1,1,1,0,0,Electronic,98.15732857,1066.080379,0
MPBP2Y2FPOOJ3WZUW6YG,0,0,0,0,5,1,2,0,0,0,1,Check,22.42606377,155.4003408,0
OIZGRIDF9COZ2HE8BYGK,1,1,0,0,55,1,0,1,1,1,1,Card,100.7284847,5780.656482,0
7L775OTEX60E7JN1HB63,1,0,1,1,20,1,0,0,0,0,0,Electronic,45.27679469,926.0476126,0
MQBTBW0WTJA0ELIPRW3C,1,0,1,1,7,1,0,0,0,0,0,Check,24.2539895,204.1996497,0
JYTJQAX22T0GBSG3Q65B,0,0,1,0,7,0,1,0,0,0,0,Check,45.10007624,323.5040688,0
TNMIJ667RZ2UP6Z2AZ85,0,0,0,1,2,1,1,0,1,1,0,Check,87.59775465,342.7598525,1
OW4TS5FHIA7EH98K0H7G,1,0,1,1,54,1,2,0,0,1,0,Electronic,80.01881646,4240.424948,0
MRJFI99Q6X03QEQE1YLF,0,0,1,1,71,1,2,0,1,0,1,Card,97.46127979,6848.55539,0
GW15OO1C898EOF51ZBK0,1,0,0,0,5,1,1,1,0,0,0,Check,56.12673794,320.0846545,0
ITY3PDOHEEDDRZYDLTZS,1,0,1,0,33,1,2,0,1,0,0,Electronic,100.2096396,3414.573853,0
